,words,translate,frequency,ngram
1060,北一,기타 이치,1,2
1061,些农,이 농부들,1,2
1062,农村,농촌 지역,1,2
1063,村地,마을,1,2
1064,地区,지역,1,2
1065,区彩,지구 까이,1,2
1066,彩礼,신부 가격,1,2
1067,礼的,공손한,1,2
1068,的一,목표 한,1,2
1069,个名,이름,1,2
1070,名目,명목,1,2
1071,意思,의미,1,2
1072,思是,생각은,1,2
1073,是对,사실이다,1,2
1074,对娘,어머니,1,2
1075,娘生,어머니,1,2
1076,生女,출산하다,1,2
1077,女儿,딸,1,2
1078,儿肚,배,1,2
1079,肚子,배,1,2
1080,子疼,어린이 통증,1,2
1081,疼的,괴로운,1,2
1082,的补,보어,1,2
1083,补偿,구성하다,1,2
1084,由于硅,실리콘으로 인해,1,3
1085,于硅基,실리콘 기반,1,3
1086,硅基生,실리콘 기반,1,3
1087,基生物,기본 생물학,1,3
1088,生物对,생물학적 쌍,1,3
1089,物对信,편지하는 것,1,3
1090,对信息,정보로,1,3
1091,信息的,정보,1,3
1092,息的存,관심의 보존,1,3
1093,的存贮,저장,1,3
1094,存贮和,보관 및,1,3
1095,贮和处,저수지,1,3
1096,和处理,그리고 처리,1,3
1097,处理能,가공 에너지,1,3
1098,理能力,관리 능력,1,3
1099,能力大,능력 대,1,3
1100,力大大,강한,1,3
1101,大大高,상당히 높음,1,3
1102,大高于,훨씬 더,1,3
1103,高于我,나보다 높게,1,3
1104,于我们,우리에게,1,3
1105,可以预,예측 가능,1,3
1106,以预测,예측하기,1,3
1107,预测硅,예측 실리콘,1,3
1108,测硅基,실리콘 기반,1,3
1109,帝国在,제국은,1,3
1110,国在第,국가,1,3
1111,在第一,처음에는,1,3
1112,第一旋,첫 번째 스핀,1,3
1113,一旋臂,한 팔,1,3
1114,旋臂顶,팔 정상,1,3
1115,臂顶端,팔 상단,1,3
1116,顶端的,상단,1,3
1117,端的恢,복구 종료,1,3
1118,的恢复,회복,1,3
1119,恢复和,복구 및,1,3
1120,复和发,푸 헤파,1,3
1121,和发展,그리고 개발,1,3
1122,发展将,개발은,1,3
1123,展将是,전시회는,1,3
1124,将是神,신이 될 것이다,1,3
1125,是神速,매우 빠릅니다,1,3
1126,神速的,빠른,1,3
1127,所以我,그래서 나는,1,3
1128,以我们,우리와 함께,1,3
1129,我们必,우리는 반드시,1,3
1130,们必须,우리는 반드시,1,3
1131,必须在,있어야 해,1,3
1132,须在碳,탄소에 있어야 함,1,3
1133,在碳基,탄소 기반,1,3
1134,联邦和,연맹 및,1,3
1135,邦和硅,Banghe 실리콘,1,3
1136,和硅基,그리고 실리콘 기반,1,3
1137,帝国之,제국의,1,3
1138,国之间,국가 간,1,3
1139,之间建,사이에 구축,1,3
1140,间建成,사이에 내장,1,3
1141,建成足,내장 된 발,1,3
1142,成足够,충분히,1,3
1143,足够宽,충분히 넓다,1,3
1144,够宽的,충분히 넓다,1,3
1145,宽的隔,넓은 파티션,1,3
1146,的隔离,격리,1,3
1147,隔离带,격리 영역,1,3
1148,这些娃,이 아기들,1,3
1149,些娃们,어린이,1,3
1150,娃们在,아이들,1,3
1151,们在烧,불타고있다,1,3
1152,在烧香,불타는 향,1,3
1153,接着他,그런 다음 그는,1,3
1154,着他们,그들을 잡아,1,3
1155,他们又,그들은 다시,1,3
1156,们又烧,다시 불타다,1,3
1157,又烧起,다시 굽기,1,3
1158,烧起纸,종이 굽기,1,3
1159,起纸来,종이 줍기,1,3
1160,火光把,토치,1,3
1161,光把娃,가벼운 아기,1,3
1162,把娃们,아이들을 넣어,1,3
1163,娃们的,어린이,1,3
1164,们的形,우리의 모양,1,3
1165,的形象,이미지,1,3
1166,形象以,이미지,1,3
1167,象以桔,이주처럼,1,3
1168,以桔红,주황색,1,3
1169,桔红色,주황색,1,3
1170,红色在,빨간색,1,3
1171,色在冬,겨울의 색,1,3
1172,冬夜银,겨울밤 실버,1,3
1173,夜银灰,나이트 실버 애쉬,1,3
1174,银灰色,실버 그레이,1,3
1175,灰色的,회색,1,3
1176,色的背,다시 컬러,1,3
1177,的背景,배경,1,3
1178,背景上,배경,1,3
1179,景上显,상현 왕,1,3
1180,上显现,상단에 표시,1,3
1181,显现出,보여 주다,1,3
1182,现出来,나와,1,3
1183,这使他,이것은 그를 만든다,1,3
1184,使他又,그를 다시 만드십시오,1,3
1185,他又想,그는 다시 생각,1,3
1186,又想起,다시 기억,1,3
1187,想起了,기억,1,3
1188,起了那,그 위로,1,3
1189,了那灶,스토브,1,3
1190,那灶边,스토브의 저쪽,1,3
1191,灶边的,스토브 측,1,3
1192,边的画,사이드 페인팅,1,3
1193,的画面,사진,1,3
1194,他和秀,그와 쇼,1,3
1195,和秀秀,허 시우 슈,1,3
1196,秀秀好,Xiuxiu 좋은,1,3
1197,秀好过,보여,1,3
1198,好过两,두 개보다 낫다,1,3
1199,过两年,2 년 후,1,3
1200,两年多,2 년 이상,1,3
1201,最后那,마지막,1,3
1202,后那阵,그 후,1,3
1203,那阵好,좋아요,1,3
1204,阵好象,보인다,1,3
1205,好象就,것 같다,1,3
1206,象就成,처럼,1,3
1207,就成了,그것은된다,1,3
1208,秀秀家,Xiuxiujia,1,3
1209,秀家里,집보기,1,3
1210,家里也,집도,1,3
1211,里也通,마을 也通,1,3
1212,也通情,또한 공감,1,3
1213,通情达,인정 많은,1,3
1214,情达理,합리적,1,3
1215,只要一,딱 하나만,1,3
1216,要一千,요 천,1,3
1217,一千五,천오,1,3
1218,千五百,천오백,1,3
1219,五百块,500 위안,1,3
1220,百块的,백 위안,1,3
1221,块的肚,두툼한 배,1,3
1222,的肚疼,불평,1,3
1223,肚疼钱,복통 돈,1,3
1224,西北一,西北一,1,3
1225,北一些,약간 북쪽,1,3
1226,一些农,일부 농부,1,3
1227,些农村,일부 농촌 지역,1,3
1228,农村地,농촌 지역,1,3
1229,村地区,村地区,1,3
1230,地区彩,지역 색상,1,3
1231,区彩礼,지역 Caili,1,3
1232,彩礼的,약혼,1,3
1233,礼的一,리이,1,3
1234,的一个,的一个,1,3
1235,一个名,이름,1,3
1236,个名目,이름,1,3
1237,意思是,意思是,1,3
1238,思是对,생각이 옳다,1,3
1239,是对娘,오른쪽 어머니,1,3
1240,对娘生,어머니에게,1,3
1241,娘生女,어머니 딸,1,3
1242,生女儿,딸을 낳는다,1,3
1243,女儿肚,女儿肚,1,3
1244,儿肚子,아기 배,1,3
1245,肚子疼,복통,1,3
1246,子疼的,괴로운,1,3
1247,疼的补,疼的补,1,3
1248,的补偿,보상,1,3
1249,由于硅基,실리콘 기반,1,4
1250,于硅基生,Yu Sijisheng,1,4
1251,硅基生物,실리콘 기반 생물학,1,4
1252,基生物对,기본 쌍,1,4
1253,生物对信,생물학적 편지,1,4
1254,物对信息,物对信息,1,4
1255,对信息的,정보를 위해,1,4
1256,信息的存,信息的存,1,4
1257,息的存贮,정보 저장,1,4
1258,的存贮和,보관 및,1,4
1259,存贮和处,存贮和处,1,4
1260,贮和处理,보관 및 취급,1,4
1261,和处理能,그리고 처리 에너지,1,4
1262,处理能力,处理能力,1,4
1263,理能力大,理能力大,1,4
1264,能力大大,훌륭한 능력,1,4
1265,力大大高,큰 힘,1,4
1266,大大高于,大大高于,1,4
1267,大高于我,나보다 훨씬 높게,1,4
1268,高于我们,우리보다 높게,1,4
1269,可以预测,예측 가능,1,4
1270,以预测硅,실리콘을 예측하려면,1,4
1271,预测硅基,실리콘 기반 예측,1,4
1272,测硅基帝,Sijidi,1,4
1273,基帝国在,기본 제국은,1,4
1274,帝国在第,최초의 제국,1,4
1275,国在第一,국가 우선,1,4
1276,在第一旋,在第一旋,1,4
1277,第一旋臂,첫 번째 팔,1,4
1278,一旋臂顶,상단,1,4
1279,旋臂顶端,旋臂顶端,1,4
1280,臂顶端的,팔 꼭대기,1,4
1281,顶端的恢,최고 회복,1,4
1282,端的恢复,복구 종료,1,4
1283,的恢复和,복구 및,1,4
1284,恢复和发,恢复和发,1,4
1285,复和发展,복잡한 개발,1,4
1286,和发展将,和发展将,1,4
1287,发展将是,개발은,1,4
1288,展将是神,전시는 신이 될 것이다,1,4
1289,将是神速,将是神速,1,4
1290,是神速的,매우 빠릅니다,1,4
1291,所以我们,所以我们,1,4
1292,以我们必,그래서 우리는,1,4
1293,我们必须,우리는 반드시,1,4
1294,们必须在,们必须在,1,4
1295,必须在碳,必须在碳,1,4
1296,须在碳基,탄소 기반이어야 함,1,4
1297,在碳基联,탄소 기반 연합,1,4
1298,基联邦和,基联邦和,1,4
1299,联邦和硅,연합과 실리콘,1,4
1300,邦和硅基,Banghe 실리콘,1,4
1301,和硅基帝,Sijidi,1,4
1302,基帝国之,基帝国之,1,4
1303,帝国之间,帝国之间,1,4
1304,国之间建,국가 간,1,4
1305,之间建成,之间建成,1,4
1306,间建成足,间建成足,1,4
1307,建成足够,建成足够,1,4
1308,成足够宽,成足够宽,1,4
1309,足够宽的,충분히 넓다,1,4
1310,够宽的隔,충분히 넓다,1,4
1311,宽的隔离,宽的隔离,1,4
1312,的隔离带,격리 영역,1,4
1313,这些娃们,这些娃们,1,4
1314,些娃们在,이 아이들이 여기 있습니다,1,4
1315,娃们在烧,娃们在烧,1,4
1316,们在烧香,们在烧香,1,4
1317,接着他们,接着他们,1,4
1318,着他们又,着他们又,1,4
1319,他们又烧,他们又烧,1,4
1320,们又烧起,다시 불타,1,4
1321,又烧起纸,又烧起纸,1,4
1322,烧起纸来,烧起纸来,1,4
1323,火光把娃,火光把娃,1,4
1324,光把娃们,그냥 아이들을 넣어,1,4
1325,把娃们的,아이들의,1,4
1326,娃们的形,娃们的形,1,4
1327,们的形象,们的形象,1,4
1328,的形象以,的形象以,1,4
1329,形象以桔,形象以桔,1,4
1330,象以桔红,오렌지처럼,1,4
1331,以桔红色,주황색,1,4
1332,桔红色在,주황색,1,4
1333,红色在冬,红色在冬,1,4
1334,色在冬夜,色在冬夜,1,4
1335,在冬夜银,在冬夜银,1,4
1336,冬夜银灰,겨울밤 은재,1,4
1337,夜银灰色,夜银灰色,1,4
1338,银灰色的,银灰色的,1,4
1339,灰色的背,그레이 백,1,4
1340,色的背景,色的背景,1,4
1341,的背景上,배경에,1,4
1342,背景上显,背景上显,1,4
1343,景上显现,그 장면에서,1,4
1344,上显现出,에 표시,1,4
1345,显现出来,显现出来,1,4
1346,这使他又,这使他又,1,4
1347,使他又想,使他又想,1,4
1348,他又想起,그는 기억했다,1,4
1349,又想起了,又想起了,1,4
1350,想起了那,기억했다,1,4
1351,起了那灶,起了那灶,1,4
1352,了那灶边,스토브 옆,1,4
1353,那灶边的,那灶边的,1,4
1354,灶边的画,스토브로 그림 그리기,1,4
1355,边的画面,边的画面,1,4
1356,他和秀秀,他和秀秀,1,4
1357,和秀秀好,和秀秀好,1,4
1358,秀秀好过,Xiuxiu가 더 낫다,1,4
1359,秀好过两,둘보다 더 잘 보여,1,4
1360,好过两年,2 년 이상,1,4
1361,过两年多,2 년 이상,1,4
1362,最后那阵,마지막 하나,1,4
1363,后那阵好,后那阵好,1,4
1364,那阵好象,那阵好象,1,4
1365,阵好象就,阵好象就,1,4
1366,好象就成,好象就成,1,4
1367,象就成了,象就成了,1,4
1368,秀秀家里,秀秀家里,1,4
1369,秀家里也,秀家里也,1,4
1370,家里也通,家里也通,1,4
1371,里也通情,里也通情,1,4
1372,也通情达,也通情达,1,4
1373,通情达理,합리적,1,4
1374,只要一千,只要一千,1,4
1375,要一千五,要一千五,1,4
1376,一千五百,"1,500",1,4
1377,千五百块,천오백 위안,1,4
1378,五百块的,五百块的,1,4
1379,百块的肚,百块的肚,1,4
1380,块的肚疼,块的肚疼,1,4
1381,的肚疼钱,복통 돈,1,4
1382,西北一些,북서쪽,1,4
1383,北一些农,북부의 일부 농부,1,4
1384,一些农村,一些农村,1,4
1385,些农村地,些农村地,1,4
1386,农村地区,农村地区,1,4
1387,村地区彩,村地区彩,1,4
1388,地区彩礼,지구 약혼,1,4
1389,区彩礼的,지구 추첨,1,4
1390,彩礼的一,신부 가격 중 하나,1,4
1391,礼的一个,예의 바른,1,4
1392,的一个名,이름,1,4
1393,一个名目,이름,1,4
1394,意思是对,올바른 의미,1,4
1395,思是对娘,생각은 어머니에게,1,4
1396,是对娘生,是对娘生,1,4
1397,对娘生女,对娘生女,1,4
1398,娘生女儿,어머니 딸,1,4
1399,生女儿肚,딸을 낳는다,1,4
1400,女儿肚子,女儿肚子,1,4
1401,儿肚子疼,儿肚子疼,1,4
1402,肚子疼的,肚子疼的,1,4
1403,子疼的补,子疼的补,1,4
1404,疼的补偿,疼的补偿,1,4
1405,由于硅基生,실리콘 기반,1,5
1406,于硅基生物,실리콘 기반 생물학,1,5
1407,硅基生物对,실리콘 기반 생물학적 쌍,1,5
1408,基生物对信,기초 생물학,1,5
1409,生物对信息,生物对信息,1,5
1410,物对信息的,정보에의 것,1,5
1411,对信息的存,对信息的存,1,5
1412,信息的存贮,정보 저장,1,5
1413,息的存贮和,정보 저장 및,1,5
1414,的存贮和处,보관 및 폐기,1,5
1415,存贮和处理,存贮和处理,1,5
1416,贮和处理能,저장 및 처리 에너지,1,5
1417,和处理能力,그리고 처리 능력,1,5
1418,处理能力大,큰 처리 용량,1,5
1419,理能力大大,관리 능력,1,5
1420,能力大大高,뛰어난 능력,1,5
1421,力大大高于,훨씬 더,1,5
1422,大大高于我,나보다 훨씬 높게,1,5
1423,大高于我们,우리보다 훨씬 더,1,5
1424,可以预测硅,可以预测硅,1,5
1425,以预测硅基,以预测硅基,1,5
1426,预测硅基帝,Sijidi 예측,1,5
1427,测硅基帝国,실리콘 제국,1,5
1428,硅基帝国在,실리콘 엠파이어는,1,5
1429,基帝国在第,基帝国在第,1,5
1430,帝国在第一,제국은 1 위,1,5
1431,国在第一旋,国在第一旋,1,5
1432,在第一旋臂,在第一旋臂,1,5
1433,第一旋臂顶,첫 번째 팔 상단,1,5
1434,一旋臂顶端,한쪽 팔 상단,1,5
1435,旋臂顶端的,팔 꼭대기,1,5
1436,臂顶端的恢,팔 꼭대기에서 회복,1,5
1437,顶端的恢复,최고 회복,1,5
1438,端的恢复和,端的恢复和,1,5
1439,的恢复和发,복구 및 개발,1,5
1440,恢复和发展,복구 및 개발,1,5
1441,复和发展将,Fuhe 개발은,1,5
1442,和发展将是,그리고 개발은,1,5
1443,发展将是神,개발은 신이 될 것입니다,1,5
1444,展将是神速,전시회는 매우 빠릅니다,1,5
1445,将是神速的,매우 빠를 것입니다,1,5
1446,所以我们必,所以我们必,1,5
1447,以我们必须,그래서 우리는,1,5
1448,我们必须在,우리는,1,5
1449,们必须在碳,우리는 탄소에 있어야합니다,1,5
1450,必须在碳基,탄소 기반이어야 함,1,5
1451,须在碳基联,탄소 기반 조합,1,5
1452,在碳基联邦,在碳基联邦,1,5
1453,碳基联邦和,탄소 기반 연맹 및,1,5
1454,基联邦和硅,基联邦和硅,1,5
1455,联邦和硅基,연방 및 실리콘 기반,1,5
1456,邦和硅基帝,방헤 시지 디,1,5
1457,和硅基帝国,和硅基帝国,1,5
1458,硅基帝国之,실리콘 제국,1,5
1459,基帝国之间,기본 제국 사이,1,5
1460,帝国之间建,제국 사이에 건설,1,5
1461,国之间建成,국가간에 구축,1,5
1462,之间建成足,사이에 구축,1,5
1463,间建成足够,충분한 공간,1,5
1464,建成足够宽,충분히 넓게 구축,1,5
1465,成足够宽的,충분히 넓다,1,5
1466,足够宽的隔,足够宽的隔,1,5
1467,够宽的隔离,충분한 격리,1,5
1468,宽的隔离带,넓은 장벽,1,5
1469,这些娃们在,이 아이들은,1,5
1470,些娃们在烧,아이들이 불타고있다,1,5
1471,娃们在烧香,아이들은 향을 피우고 있습니다,1,5
1472,接着他们又,接着他们又,1,5
1473,着他们又烧,다시 태워,1,5
1474,他们又烧起,그들은 다시 타,1,5
1475,们又烧起纸,우리는 다시 종이를 태 웠습니다,1,5
1476,又烧起纸来,종이를 다시 태워,1,5
1477,火光把娃们,불 빛,1,5
1478,光把娃们的,그냥 애들을 데려가,1,5
1479,把娃们的形,아이들을 형성하십시오,1,5
1480,娃们的形象,아이들의 이미지,1,5
1481,们的形象以,우리의 이미지는,1,5
1482,的形象以桔,이미지,1,5
1483,形象以桔红,주황색 이미지,1,5
1484,象以桔红色,오렌지처럼,1,5
1485,以桔红色在,주황색,1,5
1486,桔红色在冬,겨울에는 오렌지,1,5
1487,红色在冬夜,겨울 밤에 빨간색,1,5
1488,色在冬夜银,겨울 밤에 실버,1,5
1489,在冬夜银灰,겨울 밤에 실버 애쉬,1,5
1490,冬夜银灰色,겨울 밤 은회색,1,5
1491,夜银灰色的,은빛 밤,1,5
1492,银灰色的背,실버 그레이 백,1,5
1493,灰色的背景,회색 배경,1,5
1494,色的背景上,컬러 배경에,1,5
1495,的背景上显,배경에,1,5
1496,背景上显现,배경에 나타남,1,5
1497,景上显现出,그 장면에서,1,5
1498,上显现出来,에 표시,1,5
1499,这使他又想,다시 생각하게 만든,1,5
1500,使他又想起,다시 상기시켜,1,5
1501,他又想起了,그는 다시 기억했다,1,5
1502,又想起了那,다시 생각 해봐,1,5
1503,想起了那灶,스토브 생각,1,5
1504,起了那灶边,난로 위로,1,5
1505,了那灶边的,스토브 옆,1,5
1506,那灶边的画,난로에 의한 그림,1,5
1507,灶边的画面,스토브 사진,1,5
1508,他和秀秀好,그와 Xiuxiu는 좋다,1,5
1509,和秀秀好过,그는 Xiuxiu가 더 낫다,1,5
1510,秀秀好过两,Xiuxiu는 2보다 낫다,1,5
1511,秀好过两年,쇼는 2 년보다 낫다,1,5
1512,好过两年多,2 년 이상,1,5
1513,最后那阵好,마지막으로,1,5
1514,后那阵好象,그 후,1,5
1515,那阵好象就,그것은 것 같았다,1,5
1516,阵好象就成,배열은,1,5
1517,好象就成了,것 같다,1,5
1518,秀秀家里也,Xiuxiu의 집도,1,5
1519,秀家里也通,또한 쇼를 통해,1,5
1520,家里也通情,집에서의 사랑,1,5
1521,里也通情达,리도 수용,1,5
1522,也通情达理,또한 합리적,1,5
1523,只要一千五,천 다섯,1,5
1524,要一千五百,천오백,1,5
1525,一千五百块,"1,500 위안",1,5
1526,千五百块的,천오백,1,5
1527,五百块的肚,배 500 위안,1,5
1528,百块的肚疼,백 위안 복통,1,5
1529,块的肚疼钱,복통 돈 블록,1,5
1530,西北一些农,북서부의 일부 농부,1,5
1531,北一些农村,북부의 일부 농촌 지역,1,5
1532,一些农村地,일부 농촌 지역,1,5
1533,些农村地区,시골 지역,1,5
1534,农村地区彩,농촌 지역 색상,1,5
1535,村地区彩礼,마을 지역 추첨,1,5
1536,地区彩礼的,지역 약혼,1,5
1537,区彩礼的一,지역 Caili 최초,1,5
1538,彩礼的一个,약혼자,1,5
1539,礼的一个名,이름,1,5
1540,的一个名目,이름,1,5
1541,意思是对娘,어머니에게 의미,1,5
1542,思是对娘生,생각은 어머니에게,1,5
1543,是对娘生女,어머니에게,1,5
1544,对娘生女儿,딸을 낳는다,1,5
1545,娘生女儿肚,어머니의 딸 배,1,5
1546,生女儿肚子,딸 배를 낳으십시오,1,5
1547,女儿肚子疼,딸이 배가 아파,1,5
1548,儿肚子疼的,내 배가 아파요,1,5
1549,肚子疼的补,복통,1,5
1550,子疼的补偿,통증 보상,1,5
1551,该,그만큼,1,1
1552,自,...에서,1,1
1553,缓,느린,1,1
1554,慢,느린,1,1
1555,差,차,1,1
1556,悬,매달다,1,1
1557,殊,특별한,1,1
1558,围,둘러 싸다,1,1
1559,老,낡은,1,1
1560,师,분할,1,1
1561,躯,몸,1,1
1562,哭,울음 소리,1,1
1563,还,또한,1,1
1564,望,기대,1,1
1565,寒,춥다,1,1
1566,冷,춥다,1,1
1567,教,가르치다,1,1
1568,室,방,1,1
1569,盯,응시,1,1
1570,黑,검정,1,1
1571,蜡,밀랍,1,1
1572,管,튜브,1,1
1573,长,긴,1,1
1574,亮,선명한,1,1
1575,总,합계,1,1
1576,算,계산하다,1,1
1577,头,머리,1,1
1578,尾,꼬리,1,1
1579,该行,은행,1,2
1580,行星,행성,1,2
1581,星没,별,1,2
1582,有大,큰,1,2
1583,大气,분위기,1,2
1584,自转,회전,1,2
1585,转缓,천천히 해,1,2
1586,缓慢,느린,1,2
1587,温差,온도차,1,2
1588,差悬,차,1,2
1589,悬殊,상이,1,2
1590,们围,멘 와이,1,2
1591,围着,둘러 싸다,1,2
1592,着老,낡은,1,2
1593,老师,선생님,1,2
1594,师已,이미 선생님,1,2
1595,有生,생활,1,2
1596,命的,중대한,1,2
1597,的躯,몸,1,2
1598,躯体,몸,1,2
1599,体大,큰,1,2
1600,大哭,울음 소리,1,2
1601,哭起,울음 소리,1,2
1602,但娃,단와,1,2
1603,们还,우리는 여전히,1,2
1604,还是,여전히,1,2
1605,是有,있다,1,2
1606,有指,뾰족한,1,2
1607,指望,기대다,1,2
1608,望的,유망한,1,2
1609,那些,그것들,1,2
1610,些在,일부,1,2
1611,夜寒,밤 추위,1,2
1612,寒冷,춥다,1,2
1613,冷的,춥다,1,2
1614,的教,가르치다,1,2
1615,教室,教室,1,2
1616,室中,방에서,1,2
1617,盯着,응시,1,2
1618,着烛,양초,1,2
1619,烛光,촛불,1,2
1620,光照,조명,1,2
1621,照着,에 따르면,1,2
1622,着的,쓴,1,2
1623,的黑,블랙,1,2
1624,黑板,칠판,1,2
1625,板的,판,1,2
1626,的娃,的娃,1,2
1627,他就,그는 그냥,1,2
1628,就是,다만,1,2
1629,是那,이다,1,2
1630,那蜡,그 왁스,1,2
1631,蜡烛,양초,1,2
1632,不管,상관없이,1,2
1633,管能,튜브 에너지,1,2
1634,能点,파워 포인트,1,2
1635,点多,더,1,2
1636,多长,얼마나 오래,1,2
1637,长时,장기,1,2
1638,发出,발행물,1,2
1639,出的,아웃,1,2
1640,的光,적인 빛,1,2
1641,光有,빛,1,2
1642,有多,얼마예요,1,2
1643,多亮,얼마나 밝아,1,2
1644,他总,그는 항상,1,2
1645,总算,드디어,1,2
1646,算是,로 간주되다,1,2
1647,是从,에서,1,2
1648,从头,기스로부터,1,2
1649,头点,헤드 포인트,1,2
1650,点到,가리키다,1,2
1651,到尾,끝까지,1,2
1652,尾了,꼬리,1,2
1653,该行星,행성,1,3
1654,行星没,行星没,1,3
1655,星没有,星没有,1,3
1656,没有大,크지 않다,1,3
1657,有大气,분위기있는,1,3
1658,自转缓,느린 회전,1,3
1659,转缓慢,천천히 돌려,1,3
1660,温差悬,温差悬,1,3
1661,差悬殊,상이,1,3
1662,娃们围,주위에 아이들,1,3
1663,们围着,우리는 포위했다,1,3
1664,围着老,围着老,1,3
1665,着老师,선생님,1,3
1666,老师已,선생님은,1,3
1667,师已没,선생님이 떠났습니다,1,3
1668,没有生,출생 없음,1,3
1669,有生命,有生命,1,3
1670,生命的,인생의,1,3
1671,命的躯,시체,1,3
1672,的躯体,的躯体,1,3
1673,躯体大,큰 몸,1,3
1674,体大哭,외치는,1,3
1675,大哭起,大哭起,1,3
1676,哭起来,울음 소리,1,3
1677,但娃们,但娃们,1,3
1678,娃们还,여전히 아이들,1,3
1679,们还是,们还是,1,3
1680,还是有,여전히 가지고있다,1,3
1681,是有指,참조,1,3
1682,有指望,有指望,1,3
1683,指望的,예상,1,3
1684,那些在,그 안에,1,3
1685,些在冬,겨울에 일부,1,3
1686,冬夜寒,겨울 밤,1,3
1687,夜寒冷,추운 밤,1,3
1688,寒冷的,寒冷的,1,3
1689,冷的教,차가운 가르침,1,3
1690,的教室,'S 교실,1,3
1691,教室中,교실에서,1,3
1692,盯着烛,촛불을 응시,1,3
1693,着烛光,着烛光,1,3
1694,烛光照,烛光照,1,3
1695,光照着,조명,1,3
1696,照着的,에 따르면,1,3
1697,着的黑,검정,1,3
1698,的黑板,칠판,1,3
1699,黑板的,칠판,1,3
1700,板的娃,板的娃,1,3
1701,的娃们,的娃们,1,3
1702,他就是,그는 하나이다,1,3
1703,就是那,그게 다야,1,3
1704,是那蜡,是那蜡,1,3
1705,那蜡烛,那蜡烛,1,3
1706,不管能,도대체 무엇이,1,3
1707,管能点,에너지 포인트,1,3
1708,能点多,더 주문할 수 있습니다,1,3
1709,点多长,点多长,1,3
1710,多长时,얼마나 오래,1,3
1711,长时间,长时间,1,3
1712,发出的,발행 된,1,3
1713,出的光,出的光,1,3
1714,的光有,的光有,1,3
1715,光有多,光有多,1,3
1716,有多亮,얼마나 밝습니까,1,3
1717,他总算,他总算,1,3
1718,总算是,总算是,1,3
1719,算是从,算是从,1,3
1720,是从头,기스로부터,1,3
1721,从头点,从头点,1,3
1722,头点到,머리,1,3
1723,点到尾,끝점,1,3
1724,到尾了,끝났어,1,3
1725,该行星没,该行星没,1,4
1726,行星没有,행성 아니,1,4
1727,星没有大,星没有大,1,4
1728,没有大气,분위기 없음,1,4
1729,自转缓慢,自转缓慢,1,4
1730,温差悬殊,温差悬殊,1,4
1731,娃们围着,娃们围着,1,4
1732,们围着老,우리는 오래된 것을 둘러싼 다,1,4
1733,围着老师,围着老师,1,4
1734,着老师已,着老师已,1,4
1735,老师已没,老师已没,1,4
1736,师已没有,교사 없음,1,4
1737,已没有生,已没有生,1,4
1738,没有生命,没有生命,1,4
1739,有生命的,有生命的,1,4
1740,生命的躯,삶의 몸,1,4
1741,命的躯体,시체,1,4
1742,的躯体大,큰 몸,1,4
1743,躯体大哭,躯体大哭,1,4
1744,体大哭起,외치는,1,4
1745,大哭起来,大哭起来,1,4
1746,但娃们还,하지만 아이들은 여전히,1,4
1747,娃们还是,娃们还是,1,4
1748,们还是有,们还是有,1,4
1749,还是有指,还是有指,1,4
1750,是有指望,是有指望,1,4
1751,有指望的,有指望的,1,4
1752,那些在冬,겨울에,1,4
1753,些在冬夜,些在冬夜,1,4
1754,在冬夜寒,겨울 밤에 추워,1,4
1755,冬夜寒冷,冬夜寒冷,1,4
1756,夜寒冷的,夜寒冷的,1,4
1757,寒冷的教,寒冷的教,1,4
1758,冷的教室,冷的教室,1,4
1759,的教室中,的教室中,1,4
1760,盯着烛光,盯着烛光,1,4
1761,着烛光照,着烛光照,1,4
1762,烛光照着,烛光照着,1,4
1763,光照着的,조명,1,4
1764,照着的黑,빛나는 블랙,1,4
1765,着的黑板,着的黑板,1,4
1766,的黑板的,的黑板的,1,4
1767,黑板的娃,黑板的娃,1,4
1768,板的娃们,板的娃们,1,4
1769,他就是那,他就是那,1,4
1770,就是那蜡,就是那蜡,1,4
1771,是那蜡烛,그 촛불인가,1,4
1772,不管能点,不管能点,1,4
1773,管能点多,管能点多,1,4
1774,能点多长,얼마나 오래 걸릴 수 있습니까,1,4
1775,点多长时,얼마나 오래,1,4
1776,多长时间,얼마나 오래,1,4
1777,发出的光,방출되는 빛,1,4
1778,出的光有,出的光有,1,4
1779,的光有多,的光有多,1,4
1780,光有多亮,光有多亮,1,4
1781,他总算是,他总算是,1,4
1782,总算是从,마지막으로,1,4
1783,算是从头,算是从头,1,4
1784,是从头点,是从头点,1,4
1785,从头点到,从头点到,1,4
1786,头点到尾,끝점,1,4
1787,点到尾了,点到尾了,1,4
1788,该行星没有,행성은하지 않습니다,1,5
1789,行星没有大,행성은 크지 않다,1,5
1790,星没有大气,星没有大气,1,5
1791,娃们围着老,娃们围着老,1,5
1792,们围着老师,们围着老师,1,5
1793,围着老师已,围着老师已,1,5
1794,着老师已没,着老师已没,1,5
1795,老师已没有,老师已没有,1,5
1796,师已没有生,师已没有生,1,5
1797,已没有生命,생명이 없다,1,5
1798,没有生命的,생명이없는,1,5
1799,有生命的躯,有生命的躯,1,5
1800,生命的躯体,生命的躯体,1,5
1801,命的躯体大,큰 몸,1,5
1802,的躯体大哭,우는 몸,1,5
1803,躯体大哭起,우는 몸,1,5
1804,体大哭起来,体大哭起来,1,5
1805,但娃们还是,但娃们还是,1,5
